rank,movie_name,ww_lifetime_gross_rev,domestic_lifetime_gross_rev,domestic_percent,foreign_lifetime_gross_rev,foreign_percent,year
64,The Hobbit: The Battle of the Five Armies,"$962,253,946","$255,138,261",26.5%,"$707,115,685",73.5%,2014
65,Pirates of the Caribbean: At World's End,"$961,691,209","$309,420,425",32.2%,"$652,270,784",67.8%,2007
66,The Hobbit: The Desolation of Smaug,"$959,079,095","$258,387,334",26.9%,"$700,691,761",73.1%,2013
67,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%,2022
68,Harry Potter and the Order of the Phoenix,"$942,862,581","$292,382,727",31%,"$650,479,854",69%,2007
69,Finding Nemo,"$941,637,960","$380,843,261",40.4%,"$560,794,699",59.6%,2003
70,Harry Potter and the Half-Blood Prince,"$941,055,851","$302,334,374",32.1%,"$638,721,477",67.9%,2009
71,Minions: The Rise of Gru,"$940,482,695","$370,549,695",39.4%,"$569,933,000",60.6%,2022
72,The Lord of the Rings: The Two Towers,"$938,242,927","$345,518,923",36.8%,"$592,724,004",63.2%,2002
73,Shrek 2,"$932,530,034","$444,978,202",47.7%,"$487,551,832",52.3%,2004
74,Bohemian Rhapsody,"$910,813,521","$216,668,042",23.8%,"$694,145,479",76.2%,2018
75,The Battle at Lake Changjin,"$902,548,476","$342,411",<0.1%,"$902,206,065",100%,2021
76,Harry Potter and the Goblet of Fire,"$897,468,952","$290,469,928",32.4%,"$606,999,024",67.6%,2005
77,Spider-Man 3,"$891,679,429","$337,281,992",37.8%,"$554,397,437",62.2%,2007
78,The Lord of the Rings: The Fellowship of the Ring,"$888,195,122","$319,372,078",36%,"$568,823,044",64%,2001
79,Ice Age: Dawn of the Dinosaurs,"$886,686,817","$196,573,705",22.2%,"$690,113,112",77.8%,2009
80,Harry Potter and the Chamber of Secrets,"$882,740,355","$262,641,637",29.8%,"$620,098,718",70.2%,2002
81,Spider-Man: Homecoming,"$880,944,210","$334,952,829",38%,"$545,991,381",62%,2017
82,Spectre,"$880,707,597","$200,074,609",22.7%,"$680,632,988",77.3%,2015
83,Ice Age: Continental Drift,"$877,244,782","$161,321,843",18.4%,"$715,922,939",81.6%,2012
84,The Secret Life of Pets,"$875,698,161","$368,623,860",42.1%,"$507,074,301",57.9%,2016
85,Batman v Superman: Dawn of Justice,"$874,362,803","$330,360,194",37.8%,"$544,002,609",62.2%,2016
86,Wolf Warrior 2,"$870,325,439","$2,721,100",0.3%,"$867,604,339",99.7%,2017
87,The Hunger Games: Catching Fire,"$865,011,746","$424,668,047",49.1%,"$440,343,699",50.9%,2013
88,Guardians of the Galaxy Vol. 2,"$863,756,903","$389,813,101",45.1%,"$473,943,802",54.9%,2017
89,Black Panther: Wakanda Forever,"$859,208,836","$453,829,060",52.8%,"$405,379,776",47.2%,2022
90,Inside Out,"$859,076,254","$356,461,711",41.5%,"$502,614,543",58.5%,2015
91,Venom,"$856,085,161","$213,515,506",24.9%,"$642,569,655",75.1%,2018
92,Thor: Ragnarok,"$855,301,806","$315,058,289",36.8%,"$540,243,517",63.2%,2017
93,Star Wars: Episode III - Revenge of the Sith,"$850,035,635","$380,270,577",44.7%,"$469,765,058",55.3%,2005
94,The Twilight Saga: Breaking Dawn - Part 2,"$848,593,948","$292,324,737",34.4%,"$556,269,211",65.6%,2012
95,Guardians of the Galaxy Vol. 3,"$845,555,777","$358,995,815",42.5%,"$486,559,962",57.5%,2023
96,Inception,"$839,030,630","$292,587,330",34.9%,"$546,443,300",65.1%,2010
97,Transformers: Revenge of the Fallen,"$836,303,693","$402,111,870",48.1%,"$434,191,823",51.9%,2009
98,Spider-Man,"$825,802,095","$407,774,549",49.4%,"$418,027,546",50.6%,2002
99,Wonder Woman,"$823,970,682","$412,845,172",50.1%,"$411,125,510",49.9%,2017
100,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%,2021
101,Independence Day,"$817,400,891","$306,169,268",37.5%,"$511,231,623",62.5%,1996
102,Fantastic Beasts and Where to Find Them,"$816,037,575","$234,037,575",28.7%,"$582,000,000",71.3%,2016
103,Coco,"$814,641,172","$210,460,015",25.8%,"$604,181,157",74.2%,2017
104,Harry Potter and the Prisoner of Azkaban,"$808,485,409","$250,105,651",30.9%,"$558,379,758",69.1%,2004
105,Shrek the Third,"$808,308,862","$322,719,944",39.9%,"$485,588,918",60.1%,2007
106,Jumanji: The Next Level,"$801,693,929","$320,314,960",40%,"$481,378,969",60%,2019
107,E.T. the Extra-Terrestrial,"$797,307,407","$439,454,989",55.1%,"$357,852,418",44.9%,1982
108,Pirates of the Caribbean: Dead Men Tell No Tales,"$795,922,298","$172,558,876",21.7%,"$623,363,422",78.3%,2017
109,Mission: Impossible - Fallout,"$791,658,205","$220,159,104",27.8%,"$571,499,101",72.2%,2018
110,2012,"$791,217,826","$166,112,167",21%,"$625,105,659",79%,2009
111,Fast & Furious 6,"$788,683,342","$238,679,850",30.3%,"$550,003,492",69.7%,2013
112,Indiana Jones and the Kingdom of the Crystal Skull,"$786,636,033","$317,101,119",40.3%,"$469,534,914",59.7%,2008
113,Deadpool 2,"$785,896,632","$324,591,735",41.3%,"$461,304,897",58.7%,2018
114,Spider-Man 2,"$784,543,400","$374,337,514",47.7%,"$410,205,886",52.3%,2004
115,Deadpool,"$782,837,347","$363,070,709",46.4%,"$419,766,638",53.6%,2016
116,Star Wars: Episode IV - A New Hope,"$775,398,507","$460,998,507",59.4%,"$314,400,000",40.6%,1977
117,No Time to Die,"$774,153,007","$160,891,007",20.8%,"$613,262,000",79.2%,2021
118,Guardians of the Galaxy,"$773,350,376","$333,718,600",43.2%,"$439,631,776",56.8%,2014
119,The Batman,"$772,319,315","$369,345,583",47.8%,"$402,973,732",52.2%,2022
120,Thor: Love and Thunder,"$760,928,081","$343,256,830",45.1%,"$417,671,251",54.9%,2022
121,Fast & Furious Presents: Hobbs & Shaw,"$760,732,926","$173,956,935",22.9%,"$586,775,991",77.1%,2019
122,The Da Vinci Code,"$760,006,945","$217,536,138",28.6%,"$542,470,807",71.4%,2006
123,Maleficent,"$759,853,685","$241,410,378",31.8%,"$518,443,307",68.2%,2014
124,The Hunger Games: Mockingjay - Part 1,"$759,159,711","$337,135,885",44.4%,"$422,023,826",55.6%,2014
125,The Amazing Spider-Man,"$758,707,722","$262,782,352",34.6%,"$495,925,370",65.4%,2012
126,Shrek Forever After,"$752,600,867","$238,736,787",31.7%,"$513,864,080",68.3%,2010
127,Suicide Squad,"$749,200,054","$325,100,054",43.4%,"$424,100,000",56.6%,2016
128,Madagascar 3: Europe's Most Wanted,"$746,921,274","$216,391,482",29%,"$530,529,792",71%,2012
129,X-Men: Days of Future Past,"$746,045,700","$233,921,534",31.4%,"$512,124,166",68.6%,2014
130,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$745,013,115","$291,710,957",39.2%,"$453,302,158",60.8%,2005
131,Interstellar,"$743,685,729","$203,227,580",27.3%,"$540,458,149",72.7%,2014
132,Monsters University,"$743,559,645","$268,492,764",36.1%,"$475,066,881",63.9%,2013
133,The Matrix Reloaded,"$741,847,937","$281,576,461",38%,"$460,271,476",62%,2003
134,Up,"$735,102,136","$293,004,164",39.9%,"$442,097,972",60.1%,2009
135,F9: The Fast Saga,"$726,229,501","$173,005,945",23.8%,"$553,223,556",76.2%,2021
136,Ne Zha,"$726,225,471","$3,695,533",0.5%,"$722,529,938",99.5%,2019
137,Gravity,"$723,719,539","$274,092,705",37.9%,"$449,626,834",62.1%,2013
138,Wicked,"$717,365,125","$468,982,125",65.4%,"$248,383,000",34.6%,2024
139,The Amazing Spider-Man 2,"$716,891,708","$203,605,622",28.4%,"$513,286,086",71.6%,2014
140,Dune: Part Two,"$714,644,358","$282,144,358",39.5%,"$432,500,000",60.5%,2024
141,Captain America: The Winter Soldier,"$714,421,503","$259,766,572",36.4%,"$454,654,931",63.6%,2014
142,The Twilight Saga: Breaking Dawn - Part 1,"$712,205,856","$281,287,133",39.5%,"$430,918,723",60.5%,2011
143,The Twilight Saga: New Moon,"$711,048,123","$297,816,253",41.9%,"$413,231,870",58.1%,2009
144,Dawn of the Planet of the Apes,"$710,644,566","$208,545,589",29.4%,"$502,098,977",70.6%,2014
145,Transformers,"$709,709,780","$319,246,193",45%,"$390,463,587",55%,2007
146,Fast X,"$704,875,015","$146,126,015",20.7%,"$558,749,000",79.3%,2023
147,It,"$704,242,888","$328,874,981",46.7%,"$375,367,907",53.3%,2017
148,The Wandering Earth,"$699,992,512","$5,971,413",0.8%,"$694,021,099",99.2%,2019
149,The Twilight Saga: Eclipse,"$698,513,085","$300,531,751",43%,"$397,981,334",57%,2010
150,The Hunger Games,"$695,220,619","$408,010,692",58.7%,"$287,209,927",41.3%,2012
151,Mission: Impossible - Ghost Protocol,"$694,713,380","$209,397,903",30.1%,"$485,315,477",69.9%,2011
152,Spider-Man: Across the Spider-Verse,"$690,824,738","$381,593,754",55.2%,"$309,230,984",44.8%,2023
153,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%,2021
154,Mission: Impossible - Rogue Nation,"$682,716,636","$195,042,377",28.6%,"$487,674,259",71.4%,2015
155,Forrest Gump,"$678,226,465","$330,455,270",48.7%,"$347,771,195",51.3%,1994
156,Doctor Strange,"$677,796,833","$232,641,920",34.3%,"$445,154,913",65.7%,2016
157,The Sixth Sense,"$672,806,432","$293,506,292",43.6%,"$379,300,140",56.4%,1999
158,Full River Red,"$670,491,959",-,-,"$670,491,959",100%,2023
159,Man of Steel,"$670,145,518","$291,045,518",43.4%,"$379,100,000",56.6%,2013
160,Ice Age: The Meltdown,"$667,094,506","$195,330,621",29.3%,"$471,763,885",70.7%,2006
161,Kung Fu Panda 2,"$665,692,281","$165,249,063",24.8%,"$500,443,218",75.2%,2011
162,The Hunger Games: Mockingjay - Part 2,"$661,456,867","$281,723,902",42.6%,"$379,732,965",57.4%,2015
163,Justice League,"$661,326,987","$229,024,295",34.6%,"$432,302,692",65.4%,2017
164,Big Hero 6,"$657,870,525","$222,527,828",33.8%,"$435,342,697",66.2%,2014
165,Fantastic Beasts: The Crimes of Grindelwald,"$655,755,901","$159,555,901",24.3%,"$496,200,000",75.7%,2018
166,Pirates of the Caribbean: The Curse of the Black Pearl,"$654,264,546","$305,413,918",46.7%,"$348,850,628",53.3%,2003
167,Men in Black³,"$654,213,485","$179,020,854",27.4%,"$475,192,631",72.6%,2012
168,Star Wars: Episode II - Attack of the Clones,"$653,780,724","$310,676,740",47.5%,"$343,103,984",52.5%,2002
169,Thor: The Dark World,"$644,783,140","$206,362,140",32%,"$438,421,000",68%,2013
170,Moana,"$643,332,467","$248,757,044",38.7%,"$394,575,423",61.3%,2016
171,Wonka,"$634,502,312","$218,402,312",34.4%,"$416,100,000",65.6%,2023
172,Sing,"$634,338,409","$270,578,425",42.7%,"$363,759,984",57.3%,2016
173,Kung Fu Panda,"$632,384,787","$216,064,546",34.2%,"$416,320,241",65.8%,2008
174,The Incredibles,"$631,688,498","$261,441,092",41.4%,"$370,247,406",58.6%,2004
175,The Martian,"$630,621,406","$228,433,663",36.2%,"$402,187,743",63.8%,2015
176,Hancock,"$629,443,428","$227,946,274",36.2%,"$401,497,154",63.8%,2008
177,Mufasa: The Lion King,"$627,996,941","$221,468,955",35.3%,"$406,527,986",64.7%,2024
178,Water Gate Bridge,"$626,571,697","$117,294",<0.1%,"$626,454,403",100%,2022
179,Fast Five,"$626,140,012","$209,837,675",33.5%,"$416,302,337",66.5%,2011
180,Iron Man 2,"$623,933,331","$312,433,331",50.1%,"$311,500,000",49.9%,2010
181,Ratatouille,"$623,729,380","$206,445,654",33.1%,"$417,283,726",66.9%,2007
182,Ant-Man and the Wasp,"$622,674,139","$216,648,740",34.8%,"$406,025,399",65.2%,2018
183,How to Train Your Dragon 2,"$621,537,519","$177,002,924",28.5%,"$444,534,595",71.5%,2014
184,Logan,"$619,180,476","$226,277,068",36.5%,"$392,903,408",63.5%,2017
185,The Lost World: Jurassic Park,"$618,638,999","$229,086,679",37%,"$389,552,320",63%,1997
186,Casino Royale,"$616,577,552","$167,445,960",27.2%,"$449,131,592",72.8%,2006
187,The Wandering Earth II,"$615,023,132","$5,023,132",0.8%,"$610,000,000",99.2%,2023
188,The Passion of the Christ,"$612,060,372","$370,782,930",60.6%,"$241,277,442",39.4%,2004
189,Mamma Mia!,"$611,452,132","$144,330,569",23.6%,"$467,121,563",76.4%,2008
190,Life of Pi,"$609,016,565","$124,987,023",20.5%,"$484,029,542",79.5%,2012
191,Ready Player One,"$607,874,422","$137,715,350",22.7%,"$470,159,072",77.3%,2018
192,Transformers: The Last Knight,"$605,425,157","$130,168,683",21.5%,"$475,256,474",78.5%,2017
193,Madagascar: Escape 2 Africa,"$603,900,354","$180,010,950",29.8%,"$423,889,404",70.2%,2008
194,War of the Worlds,"$603,873,504","$234,280,354",38.8%,"$369,593,150",61.2%,2005
195,Tangled,"$591,806,017","$200,821,936",33.9%,"$390,984,081",66.1%,2010
196,Quantum of Solace,"$589,593,688","$168,368,427",28.6%,"$421,225,261",71.4%,2008
197,Men in Black,"$589,390,539","$250,690,539",42.5%,"$338,700,000",57.5%,1997
198,The Croods,"$587,266,745","$187,168,425",31.9%,"$400,098,320",68.1%,2013
199,The Hangover Part II,"$586,764,305","$254,464,305",43.4%,"$332,300,000",56.6%,2011
200,Iron Man,"$585,796,247","$319,034,126",54.5%,"$266,762,121",45.5%,2008
201,I Am Legend,"$585,410,052","$256,393,010",43.8%,"$329,017,042",56.2%,2007
202,"Monsters, Inc.","$579,770,299","$290,642,256",50.1%,"$289,128,043",49.9%,2001
203,Operation Red Sea,"$579,330,426","$1,543,547",0.3%,"$577,786,879",99.7%,2018
204,Night at the Museum,"$574,482,479","$250,863,268",43.7%,"$323,619,211",56.3%,2006
205,Godzilla x Kong: The New Empire,"$571,850,016","$196,350,016",34.3%,"$375,500,000",65.7%,2024
206,Mission: Impossible - Dead Reckoning Part One,"$570,619,838","$172,135,383",30.2%,"$398,484,455",69.8%,2023
207,Fifty Shades of Grey,"$569,651,467","$166,167,230",29.2%,"$403,484,237",70.8%,2015
208,The Little Mermaid,"$569,626,289","$298,172,056",52.4%,"$271,454,233",47.6%,2023
209,Kong: Skull Island,"$568,652,812","$168,052,812",29.6%,"$400,600,000",70.4%,2017
210,The Smurfs,"$563,892,376","$142,614,158",25.3%,"$421,278,218",74.7%,2011
211,Cars 2,"$559,853,036","$191,452,396",34.2%,"$368,400,640",65.8%,2011
212,King Kong,"$556,906,378","$218,080,025",39.2%,"$338,826,353",60.8%,2005
213,Puss in Boots,"$554,987,477","$149,260,504",26.9%,"$405,726,973",73.1%,2011
214,The Mermaid,"$553,810,228","$3,232,685",0.6%,"$550,577,543",99.4%,2016
215,Armageddon,"$553,712,773","$201,578,182",36.4%,"$352,134,591",63.6%,1998
216,The Day After Tomorrow,"$552,639,571","$186,740,799",33.8%,"$365,898,772",66.2%,2004
217,Star Wars: Episode V - The Empire Strikes Back,"$550,016,086","$292,753,960",53.2%,"$257,262,126",46.8%,1980
218,Ted,"$549,368,315","$218,815,487",39.8%,"$330,552,828",60.2%,2012
219,Kung Fu Panda 4,"$547,689,492","$193,590,620",35.4%,"$354,098,872",64.6%,2024
220,American Sniper,"$547,659,020","$350,159,020",63.9%,"$197,500,000",36.1%,2014
221,Mission: Impossible II,"$546,388,108","$215,409,889",39.4%,"$330,978,219",60.6%,2000
222,Detective Chinatown 2,"$544,185,156","$1,983,984",0.4%,"$542,201,172",99.6%,2018
223,Despicable Me,"$544,174,973","$251,683,815",46.2%,"$292,491,158",53.8%,2010
224,X-Men: Apocalypse,"$543,934,105","$155,442,489",28.6%,"$388,491,616",71.4%,2016
225,Sherlock Holmes: A Game of Shadows,"$543,848,418","$186,848,418",34.4%,"$357,000,000",65.6%,2011
226,Cinderella,"$542,358,331","$201,151,353",37.1%,"$341,206,978",62.9%,2015
227,Madagascar,"$542,064,525","$193,595,521",35.7%,"$348,469,004",64.3%,2005
228,Hotel Transylvania 3: Summer Vacation,"$541,504,608","$167,510,016",30.9%,"$373,994,592",69.1%,2018
229,World War Z,"$540,455,876","$202,807,711",37.5%,"$337,648,165",62.5%,2013
230,How to Train Your Dragon: The Hidden World,"$539,987,993","$160,945,505",29.8%,"$379,042,488",70.2%,2019
231,The Grinch,"$539,294,964","$272,504,456",50.5%,"$266,790,508",49.5%,2018
232,Brave,"$538,983,207","$237,283,207",44%,"$301,700,000",56%,2012
233,The Simpsons Movie,"$536,414,293","$183,135,014",34.1%,"$353,279,279",65.9%,2007
234,Dunkirk,"$533,696,799","$189,740,665",35.6%,"$343,956,134",64.4%,2017
235,The Revenant,"$532,950,503","$183,637,894",34.5%,"$349,312,609",65.5%,2015
236,No More Bets,"$532,600,264",-,-,"$532,600,264",100%,2023
237,The Meg,"$529,338,515","$145,522,784",27.5%,"$383,815,731",72.5%,2018
238,Ralph Breaks the Internet,"$529,323,962","$201,091,711",38%,"$328,232,251",62%,2018
239,The Boss Baby,"$527,965,936","$175,003,033",33.2%,"$352,962,903",66.8%,2017
240,WALL·E,"$527,403,656","$223,808,164",42.4%,"$303,595,492",57.6%,2008
241,Godzilla,"$524,978,362","$200,676,069",38.2%,"$324,302,293",61.8%,2014
242,Sherlock Holmes,"$524,028,679","$209,028,679",39.9%,"$315,000,000",60.1%,2009
243,Meet the Fockers,"$522,657,936","$279,261,160",53.4%,"$243,396,776",46.6%,2004
244,Kung Fu Panda 3,"$521,170,825","$143,528,619",27.5%,"$377,642,206",72.5%,2016
245,Ant-Man,"$519,311,965","$180,202,163",34.7%,"$339,109,802",65.3%,2015
246,Terminator 2: Judgment Day,"$517,778,573","$205,881,154",39.8%,"$311,897,419",60.2%,1991
247,La La Land,"$509,183,536","$151,101,803",29.7%,"$358,081,733",70.3%,2016
248,Venom: Let There Be Carnage,"$506,813,864","$213,550,366",42.1%,"$293,263,498",57.9%,2021
249,Ghost,"$505,703,557","$217,631,306",43%,"$288,072,251",57%,1990
250,Aladdin,"$504,050,219","$217,350,219",43.1%,"$286,700,000",56.9%,1992
251,Rio 2,"$498,781,117","$131,538,435",26.4%,"$367,242,682",73.6%,2014
252,Troy,"$497,409,852","$133,378,256",26.8%,"$364,031,596",73.2%,2004
253,Toy Story 2,"$497,375,381","$245,852,179",49.4%,"$251,523,202",50.6%,1999
254,Elemental,"$496,444,308","$154,426,697",31.1%,"$342,017,611",68.9%,2023
255,How to Train Your Dragon,"$494,879,860","$217,581,231",44%,"$277,298,629",56%,2010
256,Twister,"$494,580,615","$241,830,615",48.9%,"$252,750,000",51.1%,1996
257,Oz the Great and Powerful,"$493,311,825","$234,911,825",47.6%,"$258,400,000",52.4%,2013
258,Clash of the Titans,"$493,214,993","$163,214,888",33.1%,"$330,000,105",66.9%,2010
259,Maleficent: Mistress of Evil,"$491,730,089","$113,929,605",23.2%,"$377,800,484",76.8%,2019
260,War for the Planet of the Apes,"$490,719,763","$146,880,162",29.9%,"$343,839,601",70.1%,2017
261,Shrek,"$488,977,919","$268,698,241",55%,"$220,279,678",45%,2001
262,Lost in the Stars,"$487,637,474","$1,721,446",0.4%,"$485,916,028",99.6%,2023
263,Mr. & Mrs. Smith,"$487,287,646","$186,336,279",38.2%,"$300,951,367",61.8%,2005
264,Angels & Demons,"$485,930,816","$133,375,846",27.4%,"$352,554,970",72.6%,2009
265,Teenage Mutant Ninja Turtles,"$485,004,754","$191,204,754",39.4%,"$293,800,000",60.6%,2014
266,Bruce Almighty,"$484,592,874","$242,829,261",50.1%,"$241,763,613",49.9%,2003
267,Rio,"$483,866,772","$143,619,809",29.7%,"$340,246,963",70.3%,2011
268,Star Wars: Episode VI - Return of the Jedi,"$482,466,382","$316,566,101",65.6%,"$165,900,281",34.4%,1983
269,Saving Private Ryan,"$482,352,390","$217,049,603",45%,"$265,302,787",55%,1998
270,Rise of the Planet of the Apes,"$481,800,873","$176,760,185",36.7%,"$305,040,688",63.3%,2011
271,Puss in Boots: The Last Wish,"$481,757,663","$186,090,535",38.6%,"$295,667,128",61.4%,2022
272,Venom: The Last Dance,"$478,796,349","$139,755,882",29.2%,"$339,040,467",70.8%,2024
273,Jaws,"$477,916,625","$267,263,625",55.9%,"$210,653,000",44.1%,1975
274,Home Alone,"$476,684,675","$285,761,243",60%,"$190,923,432",40%,1990
275,Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909",45.1%,"$261,566,271",54.9%,2023
276,Hotel Transylvania 2,"$475,186,976","$169,700,110",35.7%,"$305,486,866",64.3%,2015
277,Charlie and the Chocolate Factory,"$474,968,763","$206,459,076",43.5%,"$268,509,687",56.5%,2005
278,San Andreas,"$474,609,154","$155,190,832",32.7%,"$319,418,322",67.3%,2015
279,Indiana Jones and the Last Crusade,"$474,171,806","$197,171,806",41.6%,"$277,000,000",58.4%,1989
280,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,"$473,230,408","$49,505,008",10.5%,"$423,725,400",89.5%,2020
281,It Chapter Two,"$473,123,154","$211,622,525",44.7%,"$261,500,629",55.3%,2019
282,The King's Speech,"$472,088,310","$138,797,449",29.4%,"$333,290,861",70.6%,2010
283,Wreck-It Ralph,"$471,222,950","$189,422,889",40.2%,"$281,800,061",59.8%,2012
